text,reply_to_message_id,mentioned
Ли и раздельно пишется,1452784,False
Мне нужно прям до пятницы ☺,,False
Врядле,1452783,False
Ты дороже локального,,False
Я в феврале смогу сделать,,False
Потолок,,False
А что нужно покрасить?,,False
Доброй ночи. Знаете локального маляра в Убуде?,,False
"Согласна! Как девушка я бы не экономила вообще) 
Но, так как это моя мечта давно и я больше не могу сидеть на месте, прийдется чуть экономить . Главное буду на Бали , а там разберусь",1452771,False
"Ну я считал 1 лям в день на еду) поэтому как то так . Я еду отдыхать , а не экономить 🥹",1452769,False
"Люди добрые, подскажите пожалуйста, хочу на Бали на Бали пожить давно и на долго, работаю на линии по айпи телефонии, с Бали можно полноценно работать с Россией? Или связь дрова и есть риски прилететь и не исполнить обязательства свои по основной работе",,False
Тогда мне на одну -50%),1452767,False
"Хотела в Тай , все сразу фукают.. 
Что там антисанитария и хуже во много раз",,False
Это на двоих рестики),1452766,False
"Ну я так примерно и думала) 
Только не думала , что еда 150 там будет 🙈 
Мне хочется в «хорошем Бали» жить иначе зачем зачем путешествие в дискомфорт 🤷🏻‍♀️для меня важно спать и есть в хороших местах",1452655,False
я тебе в личку уже писал,1452764,False
"Привет
Где можно купить табак вирджини в Чангу и сколько он тут стоит?",,False
"🌈всем привет) Большая просьба Артура модератора чатиков отписать в личные сообщения, буду очень благодарен 🙏🏻🙏🏻🙏🏻",,False
"Всем привет,есть ли на буките дикие пляжи (где поменьше людей),где можно развести костер?
И где можно купить дров,если такое здесь вообще есть?)",,False
"Ребят, кто недавно влетал через Qatar Airways - что спрашивают для влёта сейчас? И на границе тоже.",,False
"💌 Ищу компанию на виза ран 3/4 января, девушку)
Планирую лететь в Сингапур или Вьетнам. Пишите в ЛС🫶🏻",,False
"Для нас лично в порядке убывания. Но тут , как говорится, каждому своё. Пишите в ЛС если вопросы какие-то будут...",1452737,False
Равносильны или в порядке убывания симпатий?),1452736,False
"Букит, Джимбаран, Нуса Дуа.",1452733,False
"Хотя если подумать, с бассейном можно и без частых походов на пляж обойтись)",,False
"Привет! Первый раз летим на Бали, семья из двух взрослых и ребенка 9 лет. Подскажите, какой район будет комфортен для спокойной жизни без частых тусовок?) Важны тишина, доступность пляжей,где можно спокойно купаться и близость к инфраструктуре (хороший фитнесс, продуктовые магазины, школа для ребенка). Может кто-то из семейных подскажет, будем благодарны) Снять хотим небольшую виллу, бюджет до 20-22 млн.",,False
"Ты же была на Улувату. По-моему, там одной скучновато будет.",1452698,False
"Что случилось с телегой? Только через vpn работает на 2х телефонах, 2 разных аккаунта. Что через провайдера  wifi, что через telkomsel. Заблочили?))",,False
"Здравствуйте. Хотела бы найти тренера. Обязательным условием является возможность часто путешествовать. 
Питание, проживание, путешествия оплачиваются. Резюме в лс",,False
Пишите,1452718,False
"Куплю билеты на rufus 5/01 
1 или 2",,False
Есть у кого Трансформационные Игры НА ПРОДАЖУ тут на Бали? Напишите сразу в личку пожалуйста какие),,False
"Увы, тут все уже старше 12-ти 😄",1452650,False
Где написано oleh-oleh там дешевле,1450360,False
